"Blockchain - Digital Currency Wallet","Blockchain - Carteira de Moedas Digitais"
"Manage Transactions","Gerenciar Transações"
"Transactions Manager","Gerenciador de Transações"
"Customer ID","ID do Cliente"
"Order Inc. ID","ID Inc. do Pedido"
"Confirmations","Confirmações"
"Created","Criado"
"Balance","Balanço"
"Added","Adicionado"
"Synced At","Sincronizado Em"
"Manage Blocks","Gerenciar Blocos"
"Blocks Manager","Gerenciador de Blocos"
"Gamuza Blockchain Section","Seção do Gamuza Blockchain"
"Currency Type","Tipo de Moeda"
"API URL","URL da API"
"API Key","Chave da API"
"<a target='_blank' href='https://api.blockchain.info/v2/apikey/request/'>Request Blockchain API Key</a>","<a target='_blank' href='https://api.blockchain.info/v2/apikey/request/'>Solicitar Chave de API Blockchain</a>"
"xPub Key","Chave xPub"
"Gap Limit","Limite de Gap"
"Number of Confirmations","Número de Confirmações"
"Use Block","Usar Bloco"
"Block Confirmations","Confirmações de Bloco"
"Block Height","Altura do Bloco"
"Default is Current Chain Height + 1","O Padrão é Altura da Corrente Atual + 1"
"Keep Retries","Manter Tentativas"
"Crypto Currency Type","Tipo de Crypto Moeda"
"Crypto Currency Types","Tipos de Crypto Moedas"
"Pay with %s","Pagar com %s"
"Loading ...","Carregando ..."
"Customer is not logged in.","Cliente não está logado."
"Order was not specified.","Pedido não foi especificado."
"Order does not belong to the customer.","Pedido não pertence ao cliente."
"Invalid transaction status for payment action.","Status da transação inválida para pagamento."
"Invalid order status for payment action.","Status do pedido inválido para pagamento."
"Invalid order payment for blockchain address.","Pagamento do pedido inválido para endereço blockchain."
"Invalid form key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"Error fetching bitcoin address for payment. Please try again later.","Erro obtendo o endereço bitcoin para pagamento. Por favor, tente novamente mais tarde."
"Invalid Notification Parameters.","Parâmetros de Notificação Inválidos."
"Payment approved via blockchain.info notification.","Pagamento aprovado via notificação do blockchain.info"
"Display Crypto Currency","Exibir Crypto Moedas"
"Order Base Grand Total","Valor Total Base do Pedido"
"Order Crypto Grand Total","Valor Total em Cryptomoeda do Pedido"
"We are discarding unsafe %s confirmations.","Nós estamos descartando %s confirmações não seguras"
"Invalid value of the payment received.","Valor de pagamento recebido é inválido."
"We are waiting for block notification.","Estamos esperando a notificação de bloco."
"Invalid block status for payment action.","Status do bloco inválido para pagamento."
"Manage Receive","Gerenciar Recebimentos"

